DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_WAC,DEST,DEST_WAC,YEAR,MONTH,CLASS
6.802394763324311,58,99,82,407,916,2018,11,0
7.470224135899966,20,101,74,397,906,2016,8,0
4.418840607796598,45,196,93,409,906,2011,7,0
7.1180162044653335,20,231,33,412,936,2011,12,0
6.091309882077698,17,191,22,375,941,2014,9,0
7.587817219993427,71,470,916,89,38,2013,1,0
5.869296913133774,58,466,936,232,41,2013,12,0
7.403061091090091,13,470,916,283,52,2016,10,1
5.783825182329737,9,238,21,395,941,2018,2,2
4.852030263919617,24,459,906,284,93,2011,3,0
7.353722330399631,70,227,74,347,936,2014,6,3
6.293419278846481,84,313,36,412,936,2014,5,0
6.580639137284949,58,470,916,292,87,2012,4,0
7.213768308118642,30,18,34,350,951,2012,6,0
7.270312886079025,30,249,63,397,906,2013,5,0
7.234177179749849,71,276,41,407,916,2012,4,0
7.679251425953058,71,296,23,397,906,2014,6,0
6.898714534329988,13,460,926,283,52,2018,4,1
5.267858159063328,27,72,44,412,936,2011,6,0
5.3706380281276624,57,475,936,98,43,2010,5,0
6.56244409369372,58,276,41,398,926,2011,2,0
7.573017256052546,38,459,906,193,54,2015,7,1
6.421622267806518,18,126,21,350,951,2012,3,0
7.519692404116539,68,459,906,134,43,2010,4,2
6.927557906278317,58,99,82,338,916,2017,12,0
7.2875606403097235,66,269,73,338,916,2015,9,0
6.902742737158593,66,18,34,395,941,2013,5,0
6.411818267709897,41,245,54,403,936,2011,3,3
6.089044875446846,17,428,936,98,43,2014,5,0
4.919980925828125,38,151,66,398,926,2012,6,1
7.259819610363186,58,251,72,398,926,2010,12,0
7.277938572945661,14,396,916,10,1,2016,4,3
5.811140992976701,0,35,13,388,946,2018,7,2
6.089044875446846,38,184,42,412,936,2015,2,1
5.986452005284438,53,414,936,232,41,2016,1,0
7.718240951959316,30,459,906,15,34,2010,7,0
5.846438775057725,34,177,38,412,936,2013,2,0
6.3818160174060985,80,475,936,316,54,2011,12,0
7.1180162044653335,20,231,33,412,936,2014,4,0
7.787796878181171,29,291,23,397,906,2011,1,0
6.0867747269123065,17,184,42,412,936,2010,8,0
6.618738983517219,25,457,941,232,41,2016,12,0
6.194405391104672,66,177,38,395,941,2012,9,0
