DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
4.852030263919617,64,1,67,2,2,335,1,93,397,0,906,2011,3,7,1,0
7.6128310304073565,71,1,74,3,3,396,0,916,111,1,21,2014,3,9,5,0
6.115892125483034,64,1,67,2,2,335,1,93,407,0,916,2010,3,9,1,0
6.78105762593618,58,1,62,3,3,436,0,941,232,1,41,2011,1,3,2,0
7.816416983691801,72,1,75,3,3,136,1,33,407,0,916,2011,1,1,5,0
6.520621127558696,58,1,62,3,3,249,1,63,412,0,936,2015,1,3,2,0
7.935229539816907,71,1,74,3,3,136,1,33,397,0,906,2015,2,6,6,0
6.095824562432225,34,1,37,3,3,436,0,941,111,1,21,2017,1,3,1,0
7.213768308118642,34,1,37,3,3,18,1,34,350,0,951,2013,3,8,3,0
6.80128303447162,58,1,62,3,3,470,0,916,90,1,82,2010,3,8,2,0
5.796057750765372,34,1,37,3,3,428,0,936,111,1,21,2014,3,8,1,0
5.541263545158426,9,2,11,1,1,457,0,941,48,1,13,2018,1,1,1,2
7.68017564043659,3,1,3,1,1,56,1,91,412,0,936,2012,3,9,5,2
7.83002808253384,71,1,74,3,3,50,1,13,397,0,906,2013,1,1,6,0
7.258412150595307,58,1,62,3,3,276,1,41,338,0,916,2012,1,3,3,0
6.580639137284949,58,1,62,3,3,345,1,87,407,0,916,2018,4,12,2,0
6.113682179832232,9,2,11,1,1,141,1,22,369,0,936,2018,2,6,1,2
6.898714534329988,58,1,62,3,3,276,1,41,381,0,921,2013,1,1,2,0
7.685703061234547,20,1,23,3,3,475,0,936,171,1,91,2014,4,10,5,0
5.68697535633982,45,1,49,1,6,196,1,93,77,0,906,2015,3,8,1,0
6.541029999189903,85,1,88,2,2,409,0,951,243,1,23,2012,2,6,2,0
6.520621127558696,17,1,20,2,2,475,0,936,212,1,63,2012,4,11,2,0
5.981414211254481,17,1,20,2,2,249,1,63,398,0,926,2017,1,3,1,0
6.133398042996649,85,1,88,2,2,457,0,941,55,1,35,2013,4,10,1,0
4.59511985013459,64,1,67,2,2,335,1,93,409,0,906,2018,2,4,1,0
7.155396301896734,83,1,86,2,2,475,0,936,152,1,74,2018,3,8,3,0
6.075346031088684,17,1,20,2,2,428,0,936,188,1,43,2010,1,2,1,0
7.102499355774649,42,2,45,2,2,475,0,936,119,1,33,2015,1,1,3,2
6.486160788944089,34,1,37,3,3,428,0,936,232,1,41,2015,4,10,2,0
6.324358962381311,17,1,20,2,2,294,1,41,412,0,936,2010,4,12,2,0
7.600902459542082,13,1,16,3,3,459,0,906,283,1,52,2016,1,2,4,1
7.016609683894219,20,1,23,3,3,99,1,82,397,0,906,2015,3,7,3,0
5.981414211254481,30,1,33,3,3,249,1,63,398,0,926,2018,4,10,1,0
7.685243607975833,71,1,74,3,3,475,0,936,171,1,91,2011,3,7,5,0
5.978885764901122,85,1,88,2,2,291,1,23,395,0,941,2014,4,10,1,0
5.8522024797744745,84,1,87,2,2,475,0,936,243,1,23,2011,4,10,1,0
6.638567789166521,58,1,62,3,3,472,0,906,286,1,91,2017,3,8,2,0
7.692113339595466,71,1,74,3,3,320,1,22,397,0,906,2012,4,12,5,0
6.78105762593618,1,1,1,1,1,428,0,936,297,1,64,2018,1,1,2,2
7.5256399750415355,72,1,75,3,3,179,1,74,338,0,916,2015,1,3,4,0
7.403670290012373,55,1,60,1,1,117,1,74,347,0,936,2013,1,3,4,3
7.234177179749849,71,1,74,3,3,276,1,41,407,0,916,2017,3,8,3,0
4.2626798770413155,45,1,49,1,6,196,1,93,399,0,906,2015,4,12,1,2
7.351158226430694,20,1,23,3,3,459,0,906,189,1,64,2016,1,2,4,0
6.620073206530356,49,1,53,1,5,15,1,1,394,0,931,2010,3,7,2,2
4.2626798770413155,45,1,49,1,6,196,1,93,399,0,906,2016,2,5,1,0
6.638567789166521,58,1,62,3,3,338,1,91,409,0,906,2016,4,10,2,0
6.3784261836515865,84,3,87,2,2,74,1,36,412,0,936,2017,3,9,2,0
7.756195343948118,30,1,33,3,3,74,1,36,397,0,906,2010,3,8,5,0
7.270312886079025,58,1,62,3,3,249,1,63,397,0,906,2016,1,3,3,0
6.927557906278317,58,1,62,3,3,470,0,916,286,1,91,2015,2,5,3,0
7.0587581525186645,71,1,74,3,3,126,1,21,411,0,961,2015,3,7,3,0
