Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
24801,154.0,EV,D,EV,3,3,SYR,US,22,YOW,CA,936,2013,3,9,1,F
7572,127.0,QX,D,QX,2,2,SEA,US,93,YVR,CA,906,2010,3,7,1,F
17805,994.0,YX,L,YX,2,2,YUL,CA,941,ATL,US,34,2012,3,8,2,F
11426,1126.0,OO,D,OO,3,3,ORD,US,41,YXE,CA,921,2011,3,8,3,F
32996,1100.0,GL,I,GL,2,2,YQX,CA,961,JFK,US,22,2014,2,6,3,L
51674,305.0,YX,L,YX,2,2,CMH,US,44,YYZ,CA,936,2017,2,6,1,F
25594,441.0,G7,D,G7,2,2,JFK,US,22,YQB,CA,941,2013,4,10,1,F
49535,1230.0,AA,D,AA,3,3,YVR,CA,906,PHX,US,81,2016,4,12,3,F
37268,1003.0,FX,D,FX,3,3,YWG,CA,926,BUF,US,22,2015,4,11,3,G
38540,487.0,YX,L,YX,2,2,DCA,US,38,YUL,CA,941,2015,4,11,1,F
35450,530.0,9E,D,9E,2,2,YUL,CA,941,DTW,US,43,2014,2,5,2,F
23903,251.0,0WQ,D,0WQ,1,1,YVR,CA,906,PDX,US,92,2013,1,1,1,L
16831,222.0,ZW,D,ZW,2,2,PIT,US,23,YYZ,CA,936,2012,3,8,1,F
60777,333.0,9E,D,9E,2,2,YUL,CA,941,JFK,US,22,2018,2,6,1,F
30699,890.0,ZW,D,ZW,2,2,AGS,US,34,YOW,CA,936,2014,4,11,2,F
54585,1385.0,UA,D,UA,3,3,ORD,US,41,YYC,CA,916,2017,4,10,3,F
25512,193.0,OO,D,OO,3,3,CLE,US,44,YYZ,CA,936,2013,4,11,1,F
38492,2248.0,AA,D,AA,3,3,ATL,US,34,YVR,CA,906,2015,3,9,5,F
39413,1703.0,GL,I,GL,2,2,RFD,US,41,YVR,CA,906,2015,1,1,4,L
